Replicate,CPU_Runtime_sec,GPU_Runtime_sec,CPU_ARI,GPU_ARI,CPU_NMI,GPU_NMI
28,3.620789051055908,0.013015270233154297,1.0,1.0,1.0,1.0
29,3.627525568008423,0.01326751708984375,1.0,1.0,1.0,1.0
30,3.711019515991211,0.01313924789428711,1.0,1.0,1.0,1.0
31,3.5419533252716064,0.013414382934570312,1.0,1.0,1.0,1.0
32,3.5662174224853516,0.01330876350402832,1.0,1.0,1.0,1.0
33,3.507451295852661,0.013051509857177734,1.0,1.0,1.0,1.0
34,3.4580793380737305,0.013431072235107422,1.0,1.0,1.0,1.0
35,3.472914934158325,0.013251304626464844,1.0,1.0,1.0,1.0
36,3.5222737789154053,0.013939857482910156,1.0,1.0,1.0,1.0
37,3.5073721408843994,0.01353001594543457,1.0,1.0,1.0,1.0
38,3.5968942642211914,0.013499975204467773,1.0,1.0,1.0,1.0
39,3.7359976768493652,0.013156890869140625,1.0,1.0,1.0,1.0
40,3.5806639194488525,0.013403654098510742,1.0,1.0,1.0,1.0
41,3.6143691539764404,0.013441085815429688,1.0,1.0,1.0,1.0
42,3.5722897052764893,0.013104677200317383,1.0,1.0,1.0,1.0
43,3.5854616165161133,0.013341426849365234,1.0,1.0,1.0,1.0
44,3.576202154159546,0.012931108474731445,1.0,1.0,1.0,1.0
45,3.5433943271636963,0.013389110565185547,1.0,1.0,1.0,1.0
46,3.4988186359405518,0.013311147689819336,1.0,1.0,1.0,1.0
47,3.503223180770874,0.013447761535644531,1.0,1.0,1.0,1.0
48,3.5392632484436035,0.013488292694091797,1.0,1.0,1.0,1.0
49,3.4983577728271484,0.013110876083374023,1.0,1.0,1.0,1.0
50,3.5517513751983643,0.013521432876586914,1.0,1.0,1.0,1.0
51,3.5689589977264404,0.013640642166137695,1.0,1.0,1.0,1.0
52,3.6928067207336426,0.01324152946472168,1.0,1.0,1.0,1.0
53,3.548102617263794,0.013767242431640625,1.0,1.0,1.0,1.0
54,3.5575764179229736,0.013318061828613281,1.0,1.0,1.0,1.0
55,3.56522274017334,0.013750553131103516,1.0,1.0,1.0,1.0
56,3.528247356414795,0.013047218322753906,1.0,1.0,1.0,1.0
57,3.5019896030426025,0.013056278228759766,1.0,1.0,1.0,1.0
58,3.5425944328308105,0.013626575469970703,1.0,1.0,1.0,1.0
59,3.5274062156677246,0.013252496719360352,1.0,1.0,1.0,1.0
60,3.5884289741516113,0.012937784194946289,1.0,1.0,1.0,1.0
61,3.5636510848999023,0.014071464538574219,1.0,1.0,1.0,1.0
62,3.5330700874328613,0.012724876403808594,1.0,1.0,1.0,1.0
63,3.573059558868408,0.013552427291870117,1.0,1.0,1.0,1.0
64,3.6735310554504395,0.013178586959838867,1.0,1.0,1.0,1.0
65,3.587526321411133,0.013620615005493164,1.0,1.0,1.0,1.0
66,3.553544282913208,0.013193368911743164,1.0,1.0,1.0,1.0
67,3.5160224437713623,0.013445377349853516,1.0,1.0,1.0,1.0
68,3.5431647300720215,0.01307368278503418,1.0,1.0,1.0,1.0
69,3.5567657947540283,0.013329029083251953,1.0,1.0,1.0,1.0
70,3.524399995803833,0.013484716415405273,1.0,1.0,1.0,1.0
71,3.5611894130706787,0.013499975204467773,1.0,1.0,1.0,1.0
72,3.5469067096710205,0.013403177261352539,1.0,1.0,1.0,1.0
73,3.635586738586426,0.013778448104858398,1.0,1.0,1.0,1.0
74,3.5205962657928467,0.013327598571777344,1.0,1.0,1.0,1.0
75,3.5919508934020996,0.01324772834777832,1.0,1.0,1.0,1.0
76,3.5860660076141357,0.013029813766479492,1.0,1.0,1.0,1.0
77,3.607435703277588,0.013586044311523438,1.0,1.0,1.0,1.0
78,3.538356304168701,0.01338815689086914,1.0,1.0,1.0,1.0
79,3.6751601696014404,0.013331174850463867,1.0,1.0,1.0,1.0
80,3.620987892150879,0.01410055160522461,1.0,1.0,1.0,1.0
81,3.510240316390991,0.013402938842773438,1.0,1.0,1.0,1.0
82,3.5754642486572266,0.013172388076782227,1.0,1.0,1.0,1.0
83,3.5158321857452393,0.013499259948730469,1.0,1.0,1.0,1.0
84,3.514674425125122,0.013183832168579102,1.0,1.0,1.0,1.0
85,3.530660629272461,0.013216495513916016,1.0,1.0,1.0,1.0
86,3.4932124614715576,0.012982845306396484,1.0,1.0,1.0,1.0
87,3.5670864582061768,0.014024972915649414,1.0,1.0,1.0,1.0
88,3.6971628665924072,0.013632535934448242,1.0,1.0,1.0,1.0
89,3.6460366249084473,0.013544559478759766,1.0,1.0,1.0,1.0
90,3.55936598777771,0.01371622085571289,1.0,1.0,1.0,1.0
91,3.641963481903076,0.01354670524597168,1.0,1.0,1.0,1.0
92,3.561964511871338,0.013758420944213867,1.0,1.0,1.0,1.0
93,3.5610954761505127,0.013245820999145508,1.0,1.0,1.0,1.0
94,3.514894962310791,0.013364553451538086,1.0,1.0,1.0,1.0
95,3.593311071395874,0.01311945915222168,1.0,1.0,1.0,1.0
96,3.5333545207977295,0.013187170028686523,1.0,1.0,1.0,1.0
97,3.58882999420166,0.0135498046875,1.0,1.0,1.0,1.0
98,3.487727403640747,0.013137102127075195,1.0,1.0,1.0,1.0
99,3.519517421722412,0.013450384140014648,1.0,1.0,1.0,1.0
100,3.6687231063842773,0.013946533203125,1.0,1.0,1.0,1.0
