Replicate,CPU_Runtime_sec,GPU_Runtime_sec,CPU_ARI,GPU_ARI,CPU_NMI,GPU_NMI
78,0.42411351203918457,0.007421016693115234,1.0,1.0,1.0,1.0
79,0.3622860908508301,0.007668972015380859,1.0,1.0,1.0,1.0
80,0.36907172203063965,0.007498025894165039,1.0,1.0,1.0,1.0
81,0.35766005516052246,0.007569074630737305,1.0,1.0,1.0,1.0
82,0.5417301654815674,0.007456064224243164,1.0,1.0,1.0,1.0
83,1.8065848350524902,0.013524293899536133,0.0,0.0,0.0,0.0
84,0.2765495777130127,0.007567405700683594,1.0,1.0,1.0,1.0
85,0.3788604736328125,0.007657289505004883,1.0,1.0,1.0,1.0
86,0.5398211479187012,0.0075266361236572266,1.0,1.0,1.0,1.0
87,0.3632473945617676,0.007592439651489258,1.0,1.0,1.0,1.0
88,0.35846924781799316,0.007476329803466797,1.0,1.0,1.0,1.0
89,0.40714550018310547,0.008038520812988281,1.0,1.0,1.0,1.0
90,0.3585820198059082,0.007498264312744141,1.0,1.0,1.0,1.0
91,0.35854673385620117,0.007630825042724609,1.0,1.0,1.0,1.0
92,0.3580152988433838,0.007475852966308594,1.0,1.0,1.0,1.0
93,0.41076207160949707,0.007546663284301758,1.0,1.0,1.0,1.0
94,0.35800647735595703,0.008170127868652344,1.0,1.0,1.0,1.0
95,0.3677043914794922,0.007657051086425781,1.0,1.0,1.0,1.0
96,0.36978840827941895,0.007606983184814453,1.0,1.0,1.0,1.0
97,0.3728973865509033,0.007731914520263672,1.0,1.0,1.0,1.0
98,0.36820006370544434,0.007597208023071289,1.0,1.0,1.0,1.0
99,0.36768174171447754,0.0076694488525390625,1.0,1.0,1.0,1.0
100,0.37271690368652344,0.007934808731079102,1.0,1.0,1.0,1.0
